"","authors","freq","cat"
"508","Lecchinimichele",1,"others"
"509","LeoneEnrica",1,"others"
"510","LetiziaAmoroso1",1,"others"
"511","LevanteNews_ITA",1,"Media"
"512","leviatano73",1,"others"
"513","lgiovangiacomo",1,"others"
"514","LiberiParty",1,"others"
"515","lidia_roberto",1,"others"
"516","Liguria24News",1,"Media"
"517","lillymonticone",1,"others"
"518","LinaGalLina",1,"others"
"519","Lindina80",1,"others"
"520","lorytravagliat1",1,"others"
"521","LoZibra",1,"others"
"522","Lozioalbe",1,"others"
"523","LPeyretti",1,"others"
"524","lubuwetter",1,"others"
"525","luca883",1,"others"
"526","LucaGattuso",1,"others"
"527","lucaguglieri",1,"others"
"528","LucaLombroso",1,"Weather"
"529","LucaSucci",1,"others"
"530","LuisaGuidotti",1,"others"
"531","LuxGandi",1,"others"
"532","m_castellano76",1,"others"
"533","magister_ed",1,"others"
"534","magomerlino1971",1,"others"
"535","MamixDesign",1,"others"
"536","MammeMatte",1,"others"
"537","manueghibs",1,"others"
"538","manuelamandruzz",1,"others"
"539","Marco_chp1",1,"others"
"540","marconipop",1,"others"
"541","MarcoTalluto",1,"others"
"542","MarinaDellaBell",1,"others"
"543","marisabravi",1,"others"
"544","Mariuccini1",1,"others"
"545","Martinol87",1,"others"
"546","Massimi82517927",1,"others"
"547","massimodonelli",1,"others"
"548","massimomathis",1,"others"
"549","matt_fede",1,"others"
"550","matteoguidelli",1,"others"
"551","MauraViani",1,"others"
"552","mauri_devi",1,"others"
"553","MAURI59N",1,"others"
"554","maurizio_pagni",1,"others"
"555","max_aq",1,"others"
"556","mayehmproject",1,"others"
"557","MCamiglia",1,"others"
"558","Mellusilver",1,"others"
"559","metalnarz",1,"others"
"560","MeteoTweet24",1,"Weather"
"561","micaela_tatiana",1,"others"
"562","michelachiappon",1,"others"
"563","MissPerspy",1,"others"
"564","mmanca",1,"others"
"565","MonicaMonicaxx",1,"others"
"566","MpPellicani",1,"others"
"567","muoversintoscan",1,"Institution"
"568","MysteryMiki",1,"others"
"569","naneoca",1,"others"
"570","neogrigio",1,"others"
"571","netlifesrl",1,"others"
"572","newsTorino",1,"Media"
"573","NGaribbo",1,"others"
"574","nicbasile",1,"others"
"575","nicoletti1961",1,"others"
"576","NiloThecat",1,"others"
"577","NirvanaArnoulet",1,"others"
"578","nonperbenista",1,"others"
"579","Nora_Makia",1,"others"
"580","nuovafinanza",1,"Media"
"581","Nuovi_Turismi",1,"others"
"582","OdisseoMag",1,"others"
"583","oli1959",1,"others"
"584","OmarNews24",1,"others"
"585","Ommy_89",1,"others"
"586","oneto81",1,"others"
"587","p_giampaolo",1,"others"
"588","p_khristian",1,"others"
"589","PalascianoPaola",1,"others"
"590","PaolaAguggia",1,"others"
"591","PaoloRieux",1,"others"
"592","papoxultra",1,"others"
"593","parodi_lucio",1,"others"
"594","Pasminutomant",1,"others"
"595","pasqu85",1,"others"
"596","PasqualeTotaro",1,"others"
